,thema,score,change
904,항공여행,2,0
905,항공여행,1,0
906,항공여행,2,1
907,항공여행,1,1
908,항공여행,0,1
909,항공여행,1,1
910,항공여행,1,1
911,항공여행,1,1
912,항공여행,0,0
913,항공여행,0,1
914,항공여행,1,1
915,항공여행,2,1
916,항공여행,1,1
917,항공여행,2,1
918,항공여행,1,1
919,항공여행,2,1
920,항공여행,1,1
921,항공여행,2,0
922,항공여행,1,1
923,항공여행,1,1
924,항공여행,2,0
925,항공여행,1,1
926,항공여행,2,0
927,항공여행,1,0
928,항공여행,2,0
929,항공여행,2,0
930,항공여행,2,0
931,항공여행,1,1
932,항공여행,1,1
933,항공여행,2,1
934,항공여행,1,1
935,항공여행,2,0
936,항공여행,1,0
937,항공여행,1,0
938,항공여행,1,0
939,항공여행,0,1
940,항공여행,0,1
941,항공여행,0,1
942,항공여행,1,1
943,항공여행,0,0
944,항공여행,0,0
945,항공여행,0,0
946,항공여행,2,1
947,항공여행,0,1
948,항공여행,1,1
949,항공여행,0,1
950,항공여행,0,1
951,항공여행,2,0
952,항공여행,2,0
953,항공여행,2,0
954,항공여행,2,0
955,항공여행,0,1
956,항공여행,1,0
957,항공여행,2,1
958,항공여행,2,1
959,항공여행,2,1
960,항공여행,2,1
961,항공여행,2,1
962,항공여행,2,1
963,항공여행,2,0
964,항공여행,0,0
965,항공여행,1,0
966,항공여행,1,0
967,항공여행,1,1
968,항공여행,1,1
969,항공여행,2,0
970,항공여행,2,1
971,항공여행,2,1
972,항공여행,2,0
973,항공여행,2,0
974,항공여행,2,0
975,항공여행,2,0
976,항공여행,2,0
977,항공여행,2,0
978,항공여행,0,1
979,항공여행,1,1
980,항공여행,0,0
981,항공여행,2,0
982,항공여행,0,1
983,항공여행,2,1
984,항공여행,2,1
985,항공여행,0,1
986,항공여행,2,0
987,항공여행,2,0
988,항공여행,2,0
989,항공여행,0,0
990,항공여행,2,1
991,항공여행,2,1
992,항공여행,2,1
993,항공여행,1,1
994,항공여행,1,1
995,항공여행,2,1
996,항공여행,2,0
997,항공여행,1,0
998,항공여행,2,0
999,항공여행,2,0
1000,항공여행,2,0
1001,항공여행,2,0
1002,항공여행,0,1
1003,항공여행,2,0
1004,항공여행,1,0
1005,항공여행,2,1
1006,항공여행,2,0
1007,항공여행,0,0
1008,항공여행,1,0
1009,항공여행,0,0
1010,항공여행,2,1
1011,항공여행,2,1
1012,항공여행,2,1
1013,항공여행,1,1
1014,항공여행,2,1
1015,항공여행,0,1
1016,항공여행,1,1
1017,항공여행,1,1
1018,항공여행,2,0
1019,항공여행,2,1
1020,항공여행,1,1
1021,항공여행,2,0
1022,항공여행,2,1
1023,항공여행,2,1
1024,항공여행,1,0
1025,항공여행,2,0
1026,항공여행,2,0
1027,항공여행,2,0
1028,항공여행,2,0
1029,항공여행,2,0
1030,항공여행,1,0
1031,항공여행,0,1
1032,항공여행,2,0
1033,항공여행,2,0
1034,항공여행,1,0
1035,항공여행,2,0
1036,항공여행,2,0
1037,항공여행,2,0
1038,항공여행,2,0
1039,항공여행,2,1
1040,항공여행,0,1
1041,항공여행,2,0
1042,항공여행,2,0
1043,항공여행,0,0
1044,항공여행,0,1
1045,항공여행,1,1
1046,항공여행,2,0
1047,항공여행,1,0
1048,항공여행,1,1
1049,항공여행,1,1
1050,항공여행,0,0
1051,항공여행,1,0
1052,항공여행,1,1
1053,항공여행,1,1
1054,항공여행,2,0
1055,항공여행,0,0
1056,항공여행,0,0
1057,항공여행,0,0
1058,항공여행,2,1
1059,항공여행,0,1
1060,항공여행,0,1
1061,항공여행,1,1
1062,항공여행,1,1
1063,항공여행,0,1
1064,항공여행,2,0
1065,항공여행,1,0
1066,항공여행,1,0
1067,항공여행,0,0
1068,항공여행,2,1
1069,항공여행,1,1
1070,항공여행,2,1
1071,항공여행,2,1
1072,항공여행,1,1
1073,항공여행,0,1
1074,항공여행,1,1
1075,항공여행,2,1
1076,항공여행,2,1
1077,항공여행,0,1
1078,항공여행,2,1
1079,항공여행,2,1
1080,항공여행,2,1
1081,항공여행,1,1
1082,항공여행,0,1
1083,항공여행,0,1
1084,항공여행,2,0
1085,항공여행,0,0
1086,항공여행,1,0
1087,항공여행,2,1
1088,항공여행,2,0
1089,항공여행,0,0
1090,항공여행,1,0
1091,항공여행,2,0
1092,항공여행,2,0
1093,항공여행,2,1
1094,항공여행,0,0
1095,항공여행,2,1
1096,항공여행,1,1
1097,항공여행,1,0
1098,항공여행,2,1
1099,항공여행,0,1
1100,항공여행,0,0
1101,항공여행,2,0
1102,항공여행,1,1
1103,항공여행,2,1
1104,항공여행,1,0
1105,항공여행,2,1
1106,항공여행,2,1
1107,항공여행,1,1
1108,항공여행,2,1
1109,항공여행,2,1
1110,항공여행,1,1
1111,항공여행,1,1
1112,항공여행,1,1
1113,항공여행,1,1
1114,항공여행,1,1
1115,항공여행,1,1
1116,항공여행,2,0
1117,항공여행,2,0
1118,항공여행,2,0
1119,항공여행,2,0
1120,항공여행,2,0
1121,항공여행,2,1
1122,항공여행,0,0
1123,항공여행,1,0
1124,항공여행,1,1
1125,항공여행,1,1
1126,항공여행,1,0
1127,항공여행,0,0
1128,항공여행,2,0
1129,항공여행,2,0
1130,항공여행,1,1
1131,항공여행,2,1
1132,항공여행,2,1
1133,항공여행,1,0
1134,항공여행,0,0
1135,항공여행,2,0
1136,항공여행,0,0
1137,항공여행,2,0
1138,항공여행,0,0
1139,항공여행,2,0
1140,항공여행,1,0
1141,항공여행,1,1
1142,항공여행,0,0
1143,항공여행,2,1
1144,항공여행,2,1
1145,항공여행,2,1
1146,항공여행,2,0
1147,항공여행,1,0
1148,항공여행,0,1
1149,항공여행,0,1
1150,항공여행,1,1
1151,항공여행,2,0
1152,항공여행,1,1
1153,항공여행,2,1
1154,항공여행,0,1
1155,항공여행,2,0
1156,항공여행,2,0
1157,항공여행,2,0
1158,항공여행,2,1
1159,항공여행,2,1
1160,항공여행,2,1
1161,항공여행,2,1
1162,항공여행,2,1
1163,항공여행,2,1
1164,항공여행,2,1
1165,항공여행,2,0
1166,항공여행,2,0
1167,항공여행,2,0
1168,항공여행,2,1
1169,항공여행,2,0
1170,항공여행,2,0
1171,항공여행,2,1
1172,항공여행,2,1
1173,항공여행,2,1
1174,항공여행,2,1
1175,항공여행,2,1
1176,항공여행,2,1
1177,항공여행,2,1
1178,항공여행,2,0
1179,항공여행,0,0
1180,항공여행,2,0
1181,항공여행,1,0
1182,항공여행,2,1
1183,항공여행,2,1
1184,항공여행,2,0
1185,항공여행,2,0
1186,항공여행,2,1
1187,항공여행,0,1
1188,항공여행,2,1
1189,항공여행,2,1
1190,항공여행,2,1
1191,항공여행,1,1
1192,항공여행,2,0
1193,항공여행,1,1
1194,항공여행,2,1
1195,항공여행,2,1
1196,항공여행,2,1
1197,항공여행,2,0
1198,항공여행,2,0
1199,항공여행,2,1
1200,항공여행,2,1
1201,항공여행,2,1
1202,항공여행,1,1
1203,항공여행,2,1
1204,항공여행,0,1
1205,항공여행,0,1
1206,항공여행,1,0
1207,항공여행,2,1
1208,항공여행,2,1
1209,항공여행,0,1
1210,항공여행,2,0
1211,항공여행,2,0
1212,항공여행,2,1
1213,항공여행,2,1
1214,항공여행,2,0
1215,항공여행,0,0
1216,항공여행,1,0
1217,항공여행,2,0
1218,항공여행,2,0
1219,항공여행,2,1
1220,항공여행,1,1
1221,항공여행,2,1
1222,항공여행,2,1
1223,항공여행,2,1
1224,항공여행,2,1
1225,항공여행,2,0
1226,항공여행,2,0
1227,항공여행,2,0
1228,항공여행,2,0
1229,항공여행,2,1
1230,항공여행,2,0
1231,항공여행,2,1
1232,항공여행,2,1
1233,항공여행,2,1
1234,항공여행,0,0
1235,항공여행,2,0
1236,항공여행,2,0
1237,항공여행,2,1
1238,항공여행,2,0
1239,항공여행,0,0
1240,항공여행,2,0
1241,항공여행,2,1
1242,항공여행,2,1
1243,항공여행,2,1
1244,항공여행,0,0
1245,항공여행,2,1
1246,항공여행,2,1
1247,항공여행,2,1
1248,항공여행,2,1
1249,항공여행,2,1
1250,항공여행,2,1
1251,항공여행,1,0
1252,항공여행,2,1
1253,항공여행,2,1
1254,항공여행,1,0
1255,항공여행,2,1
1256,항공여행,2,1
1257,항공여행,2,0
1258,항공여행,2,0
1259,항공여행,2,0
1260,항공여행,2,0
1261,항공여행,2,1
1262,항공여행,2,1
1263,항공여행,0,1
1264,항공여행,2,1
1265,항공여행,2,0
1266,항공여행,2,1
1267,항공여행,2,0
1268,항공여행,2,1
1269,항공여행,1,0
1270,항공여행,2,0
1271,항공여행,2,1
1272,항공여행,2,1
1273,항공여행,2,1
1274,항공여행,2,0
1275,항공여행,2,0
1276,항공여행,2,0
1277,항공여행,1,1
