,word,count
851,단체,43
852,조건,43
853,무료,43
854,2008,43
855,대상자,42
856,총수,42
857,변화,42
858,산,42
859,이달,42
860,부진,42
861,추정,42
862,위원,42
863,연간,42
864,연구소,42
865,AI,42
866,사람,42
867,알려졌,42
868,집행,42
869,팀,42
870,주도,42
871,어린이,42
872,사고,42
873,한난,42
874,독일,42
875,탈,41
876,초기,41
877,폭,41
878,는다,41
879,기여,41
880,외부,41
881,아직,41
882,공단,41
883,/,41
884,사업자,41
885,더욱,41
886,종합,41
887,헬스,41
888,경기,40
889,가동,40
890,개인,40
891,입장,40
892,200,40
893,2030,40
894,온라인,40
895,격차,40
896,육,40
897,터빈,40
898,동반,40
899,임금,40
900,DW,40
901,대로,39
902,대학교,39
903,스,39
904,가지,39
905,대부분,39
906,거점,39
907,실,39
908,임직원,39
909,법인,39
910,홀딩스,39
911,으로써,39
912,해결,39
913,연료전지,39
914,부지,39
915,책임,39
916,비교,38
917,다시,38
918,제외,38
919,높이,38
920,확정,38
921,이전,38
922,감염병,38
923,선택,38
924,상생,38
925,TF,38
926,할인,38
927,소비,38
928,톤,38
929,맡,38
930,자동차,38
931,감사원,38
932,교수,38
933,거래소,38
934,양회,38
935,보고서,37
936,찾,37
937,동일,37
938,덧붙였,37
939,제시,37
940,남,37
941,작용,37
942,프로그램,37
943,주민,37
944,준비,37
945,2016,37
946,구속,37
947,달리,37
948,오전,37
949,거쳐,37
950,액화천연가스,37
951,육성,37
952,통합,37
953,요구,37
954,회수,37
955,미디어,36
956,경북,36
957,삼성전자,36
958,능력,36
959,로서,36
960,양사,36
961,에선,36
962,상향,36
963,별도,36
964,여부,36
965,부장,36
966,고발,36
967,경험,36
968,타,36
969,부작용,36
970,사건,36
971,같이,36
972,공개,36
973,이유,36
974,장비,36
975,제출,36
976,정규직,36
977,상품,36
978,부족,36
979,운송,36
980,징계,36
981,대전,36
982,탱크,36
983,케어,36
984,옥스퍼드,36
985,가공,36
986,떨어졌,35
987,많이,35
988,%(,35
989,여성,35
990,양성,35
991,포인트,35
992,원가,35
993,어려움,35
994,정상,35
995,대통령,35
996,기기,35
997,먼저,35
998,대폭,35
999,차량,35
1000,이행,35
1001,밖,35
1002,융합,35
1003,지분,35
1004,대해서,35
1005,플러스,35
1006,표준,35
1007,국산화,35
1008,매년,35
1009,손상,35
1010,위원장,35
1011,악화,35
1012,자전거,35
1013,비르,35
1014,SR,34
1015,넘,34
1016,노,34
1017,파악,34
1018,으로부터,34
1019,임,34
1020,누적,34
1021,품목,34
1022,인식,34
1023,실현,34
1024,담당,34
1025,층,34
1026,반응,34
1027,일정,34
1028,처럼,34
1029,단백질,34
1030,지금,34
1031,테스트,34
1032,원자력,34
1033,청와대,34
1034,폐쇄,34
1035,조작,34
1036,협상,34
1037,석탄,34
1038,OEM,34
1039,시즌,34
1040,투어,34
1041,앤,33
1042,성분,33
1043,질,33
1044,고객,33
1045,2021,33
1046,트,33
1047,가량,33
1048,인력,33
1049,어려운,33
1050,열린,33
1051,마감,33
1052,상용,33
1053,유도,33
1054,MW,33
1055,기획,33
1056,해양,33
1057,청구,33
1058,전날,33
1059,제기,33
1060,파워,33
1061,위치,33
1062,생명,33
1063,매각,33
1064,회분,33
1065,올랐,32
1066,지식,32
1067,유효,32
1068,자회사,32
1069,길,32
1070,당기,32
1071,관,32
1072,신설,32
1073,지검,32
1074,협회,32
1075,심각,32
1076,중증,32
1077,합작,32
1078,온실가스,32
1079,한국전력,32
1080,연료비,32
1081,인상,32
1082,미세먼지,32
1083,체,32
1084,중부,32
1085,삭제,32
1086,문재인,32
1087,감,32
1088,집단,32
1089,판정,32
1090,데시,32
1091,WHO,32
1092,립,32
